path	sentence	up_votes	down_votes
common_voice_ur_31789690.mp3	کبھی بھی پیرا شوٹ سے چھلانگ لگانا پسند نہیں کروں گا	1	0
common_voice_ur_31799503.mp3	وہ منیجر کے کمرے میں گیا	1	0
common_voice_ur_31810974.mp3	پوری دنیا میں صرف پاکستان میں ہی ہیں ۔	1	0
common_voice_ur_31812217.mp3	ملتان شوبز ڈیسک امریکا کی مقبول ترین فیشن ماڈل جی جی حدید کا کہنا ہے کہ وہ جتنی ڈچ ہیں	1	0
common_voice_ur_31816135.mp3	فارسی ایک ہند یورپی زبان ہے	1	0
common_voice_ur_31819437.mp3	اور وقت گزرنا اور درجن دورہ ذرائع ہونا	1	0
common_voice_ur_31819988.mp3	ملک میں ایک تعلیمی نظام کیوں نہیں ہے؟	1	0
common_voice_ur_31824178.mp3	ٹیسٹ ٹیم کے لیے بھی	1	0
common_voice_ur_31826617.mp3	تو سب نے نیک خواہشات کے ساتھ ہمیں الوداع کیا ۔	1	0
common_voice_ur_31827393.mp3	قومی کرکٹر محمد عامر ویں سالگرہ منا رہے ہیں	1	0
common_voice_ur_31828113.mp3	اور یِہ کا آنا کا وقت بھی یِہ کو معلوم ہونا ہونا	1	0
common_voice_ur_31828300.mp3	علم سے سوچ میں وسعت پیدا ہوتی ہے۔	1	0
common_voice_ur_31828415.mp3	ہم جس معاشرے میں جی رہے ہیں، یہاں کوئی پیغمبر ہے۔	1	0
common_voice_ur_31828725.mp3	نئی نئی سیاسی قوتیں سامنے آئی ہیں۔	1	0
common_voice_ur_31828981.mp3	اعلیٰ طبقے کی آسائش پسند خاتون کی کاوش قرار دیتے ہیں	1	0
common_voice_ur_31829078.mp3	نمک مرچ تو نہ نکلی	1	0
common_voice_ur_31829516.mp3	بنگلہ دیش کی عدالت اگر علما کے فتووں اور قانونی فیصلوں پر پابندی لگانے کے بجائے	1	0
common_voice_ur_31829790.mp3	اور انہیں زمین کی طرف دوبارہ سے خارج کردیتے ہیں	1	0
common_voice_ur_31830625.mp3	یہ آئی کلاؤڈ اور آئی ٹیونز کے ذریعے بیک اپ کے ذریعے ممکن ہوتا ہے	1	0
common_voice_ur_31832964.mp3	نیز بازار میں ای بک کمپیوٹر بھی تیزی سے مقبول ہوتے جا رہے ہیں	1	0
common_voice_ur_31832972.mp3	معمول کے حروف کی ترتیب کی چھٹائی کریں	1	0
common_voice_ur_31833010.mp3	اب تو دو ٹکے کے لوگ بھی اٹھ کر بغیر ثبوت الزام لگا دیتے	1	0
common_voice_ur_31833061.mp3	تو گرین ہاؤس ایفیکٹ سے مراد کچھ یوں لی جاتی ہے	1	0
common_voice_ur_31833074.mp3	آج بھی سب کا نشانہ نوازشریف ہیں۔	1	0
